service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
UTEIS,1,1,1,1,1,0,0,20190907,20191218
SAB,0,0,0,0,0,1,0,20190907,20191218
DOM,0,0,0,0,0,0,1,20190907,20191218
UTEISFE,1,1,1,1,1,0,0,20191219,20200102
SABFE,0,0,0,0,0,1,0,20191219,20200102
DOMFE,0,0,0,0,0,0,1,20191219,20200102
UTEISVERAO,1,1,1,1,1,0,0,20190615,20190726
SABVERAO,0,0,0,0,0,1,0,20190615,20190726
DOMVERAO,0,0,0,0,0,0,1,20190615,20190726
UTEISAGOST,1,1,1,1,1,0,0,20190727,20190901
SABAGOST,0,0,0,0,0,1,0,20190727,20190901
DOMAGOST,0,0,0,0,0,0,1,20190727,20190901
ELECUTEIS,1,1,1,1,1,0,0,20191027,20200328
ELECSAB,0,0,0,0,0,1,0,20191027,20200328
ELECDOM,0,0,0,0,0,0,1,20191027,20200328
ELECUTEISVERAO,1,1,1,1,1,0,0,20190331,20191026
ELECSABVERAO,0,0,0,0,0,1,0,20190331,20191026
ELECDOMVERAO,0,0,0,0,0,0,1,20190331,20191026
