service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
DU,1,1,1,1,1,0,0,20190910,20200730
DS,0,0,0,0,0,1,0,20190910,20200730
DDF,0,0,0,0,0,0,1,20190910,20200730
FGInvernoA,1,1,1,1,0,0,1,20190915,20200531
FGInvernoB,0,0,0,0,1,1,0,20190915,20200531
FGVeraoA,1,1,1,0,0,0,1,20200601,20200914
FGVeraoB,0,0,0,1,1,1,0,20200601,20200914
AU,1,1,1,1,1,0,0,20190910,20200730
AS,0,0,0,0,0,1,0,20190910,20200730
ADF,0,0,0,0,0,0,1,20190910,20200730
AUT,1,1,1,1,1,0,0,20190910,20200730
AST,0,0,0,0,0,1,0,20190910,20200730
ADFT,0,0,0,0,0,0,1,20190910,20200730
BU,1,1,1,1,1,0,0,20190910,20200730
BS,0,0,0,0,0,1,0,20190910,20200730
BDF,0,0,0,0,0,0,1,20190910,20200730
BexU,1,1,1,1,1,0,0,20190910,20200730
BexS,0,0,0,0,0,1,0,20190910,20200730
BexDF,0,0,0,0,0,0,1,20190910,20200730
EU,1,1,1,1,1,0,0,20190910,20200730
ES,0,0,0,0,0,1,0,20190910,20200730
EDF,0,0,0,0,0,0,1,20190910,20200730
CU,1,1,1,1,1,0,0,20190910,20200730
CS,0,0,0,0,0,1,0,20190910,20200730
CDF,0,0,0,0,0,0,1,20190910,20200730
CUF,1,1,1,1,1,0,0,20190910,20200730
CSF,0,0,0,0,0,1,0,20190910,20200730
FU,1,1,1,1,1,0,0,20190910,20200730
FS,0,0,0,0,0,1,0,20190910,20200730
FDF,0,0,0,0,0,0,1,20190910,20200730
CDFF,0,0,0,0,0,0,1,20190910,20200730
