service_id,date,exception_type
ADF,20191005,1
ADFT,20191005,1
AS,20191005,2
AST,20191005,2
AU,20191005,2
AUT,20191005,2
BDF,20191005,1
BexDF,20191005,1
BexS,20191005,2
BexU,20191005,2
BS,20191005,2
BU,20191005,2
CDF,20191005,1
CS,20191005,2
CSF,20191005,2
CU,20191005,2
CUF,20191005,2
DDF,20191005,1
DS,20191005,2
DU,20191005,2
EDF,20191005,1
ES,20191005,2
EU,20191005,2
FDF,20191005,1
FS,20191005,2
FU,20191005,2
ADF,20191101,1
ADFT,20191101,1
AS,20191101,2
AST,20191101,2
AU,20191101,2
AUT,20191101,2
BDF,20191101,1
BexDF,20191101,1
BexS,20191101,2
BexU,20191101,2
BS,20191101,2
BU,20191101,2
CDF,20191101,1
CS,20191101,2
CSF,20191101,2
CU,20191101,2
CUF,20191101,2
DDF,20191101,1
DS,20191101,2
DU,20191101,2
EDF,20191101,1
ES,20191101,2
EU,20191101,2
FDF,20191101,1
FS,20191101,2
FU,20191101,2
ADF,20191201,1
ADFT,20191201,1
AS,20191201,2
AST,20191201,2
AU,20191201,2
AUT,20191201,2
BDF,20191201,1
BexDF,20191201,1
BexS,20191201,2
BexU,20191201,2
BS,20191201,2
BU,20191201,2
CDF,20191201,1
CS,20191201,2
CSF,20191201,2
CU,20191201,2
CUF,20191201,2
DDF,20191201,1
DS,20191201,2
DU,20191201,2
EDF,20191201,1
ES,20191201,2
EU,20191201,2
FDF,20191201,1
FS,20191201,2
FU,20191201,2
ADF,20191208,1
ADFT,20191208,1
AS,20191208,2
AST,20191208,2
AU,20191208,2
AUT,20191208,2
BDF,20191208,1
BexDF,20191208,1
BexS,20191208,2
BexU,20191208,2
BS,20191208,2
BU,20191208,2
CDF,20191208,1
CS,20191208,2
CSF,20191208,2
CU,20191208,2
CUF,20191208,2
DDF,20191208,1
DS,20191208,2
DU,20191208,2
EDF,20191208,1
ES,20191208,2
EU,20191208,2
FDF,20191208,1
FS,20191208,2
FU,20191208,2
ADF,20191225,1
ADFT,20191225,1
AS,20191225,2
AST,20191225,2
AU,20191225,2
AUT,20191225,2
BDF,20191225,1
BexDF,20191225,1
BexS,20191225,2
BexU,20191225,2
BS,20191225,2
BU,20191225,2
CDF,20191225,1
CS,20191225,2
CSF,20191225,2
CU,20191225,2
CUF,20191225,2
DDF,20191225,1
DS,20191225,2
DU,20191225,2
EDF,20191225,1
ES,20191225,2
EU,20191225,2
FDF,20191225,1
FS,20191225,2
FU,20191225,2
ADF,20200101,1
ADFT,20200101,1
AS,20200101,2
AST,20200101,2
AU,20200101,2
AUT,20200101,2
BDF,20200101,1
BexDF,20200101,1
BexS,20200101,2
BexU,20200101,2
BS,20200101,2
BU,20200101,2
CDF,20200101,1
CS,20200101,2
CSF,20200101,2
CU,20200101,2
CUF,20200101,2
DDF,20200101,1
DS,20200101,2
DU,20200101,2
EDF,20200101,1
ES,20200101,2
EU,20200101,2
FDF,20200101,1
FS,20200101,2
FU,20200101,2
ADF,20200425,1
ADFT,20200425,1
AS,20200425,2
AST,20200425,2
AU,20200425,2
AUT,20200425,2
BDF,20200425,1
BexDF,20200425,1
BexS,20200425,2
BexU,20200425,2
BS,20200425,2
BU,20200425,2
CDF,20200425,1
CS,20200425,2
CSF,20200425,2
CU,20200425,2
CUF,20200425,2
DDF,20200425,1
DS,20200425,2
DU,20200425,2
EDF,20200425,1
ES,20200425,2
EU,20200425,2
FDF,20200425,1
FS,20200425,2
FU,20200425,2
ADF,20200501,1
ADFT,20200501,1
AS,20200501,2
AST,20200501,2
AU,20200501,2
AUT,20200501,2
BDF,20200501,1
BexDF,20200501,1
BexS,20200501,2
BexU,20200501,2
BS,20200501,2
BU,20200501,2
CDF,20200501,1
CS,20200501,2
CSF,20200501,2
CU,20200501,2
CUF,20200501,2
DDF,20200501,1
DS,20200501,2
DU,20200501,2
EDF,20200501,1
ES,20200501,2
EU,20200501,2
FDF,20200501,1
FS,20200501,2
FU,20200501,2
ADF,20200610,1
ADFT,20200610,1
AS,20200610,2
AST,20200610,2
AU,20200610,2
AUT,20200610,2
BDF,20200610,1
BexDF,20200610,1
BexS,20200610,2
BexU,20200610,2
BS,20200610,2
BU,20200610,2
CDF,20200610,1
CS,20200610,2
CSF,20200610,2
CU,20200610,2
CUF,20200610,2
DDF,20200610,1
DS,20200610,2
DU,20200610,2
EDF,20200610,1
ES,20200610,2
EU,20200610,2
FDF,20200610,1
FS,20200610,2
FU,20200610,2
ADF,20200815,1
ADFT,20200815,1
AS,20200815,2
AST,20200815,2
AU,20200815,2
AUT,20200815,2
BDF,20200815,1
BexDF,20200815,1
BexS,20200815,2
BexU,20200815,2
BS,20200815,2
BU,20200815,2
CDF,20200815,1
CS,20200815,2
CSF,20200815,2
CU,20200815,2
CUF,20200815,2
DDF,20200815,1
DS,20200815,2
DU,20200815,2
EDF,20200815,1
ES,20200815,2
EU,20200815,2
FDF,20200815,1
FS,20200815,2
FU,20200815,2
CDFF,20200815,1
