trip_id,start_time,end_time,headway_secs
DU0,06:00:00,06:59:00,720
DU0,07:00:00,23:59:00,600
DU0,23:59:59,25:00:00,660
DU1,06:00:00,06:59:00,720
DU1,07:00:00,23:59:00,600
DU1,23:59:59,25:00:00,660
DS0,06:00:00,06:59:00,960
DS0,07:00:00,07:59:00,780
DS0,08:00:00,19:59:00,540
DS0,20:00:00,25:00:00,660
DS1,06:00:00,06:59:00,960
DS1,07:00:00,07:59:00,780
DS1,08:00:00,18:59:00,540
DS1,19:59:00,25:00:00,660
DDF0,06:00:00,08:59:00,960
DDF0,09:00:00,09:59:00,780
DDF0,10:00:00,12:59:00,600
DDF0,13:00:00,13:59:00,780
DDF0,14:00:00,23:59:00,600
DDF0,23:59:59,25:00:00,660
DDF1,06:00:00,08:59:00,960
DDF1,09:00:00,09:59:00,780
DDF1,10:00:00,12:59:00,600
DDF1,13:00:00,13:59:00,780
DDF1,14:00:00,23:59:00,600
DDF1,23:59:59,25:00:00,660
AU0,06:00:00,07:59:00,960
AU0,08:00:00,19:59:00,780
AU0,20:00:00,25:00:00,1080
AU1,06:00:00,07:59:00,960
AU1,08:00:00,19:59:00,780
AU1,20:00:00,25:00:00,1080
AS0,06:00:00,07:59:00,1080
AS0,08:00:00,19:59:00,840
AS0,20:00:00,25:00:00,1080
AS1,06:00:00,07:59:00,1080
AS1,08:00:00,19:59:00,840
AS1,20:00:00,25:00:00,1080
ADF0,06:00:00,13:59:00,1080
ADF0,14:00:00,19:59:00,840
ADF0,20:00:00,25:00:00,1080
ADF1,06:00:00,13:59:00,1080
ADF1,14:00:00,19:59:00,840
ADF1,20:00:00,25:00:00,1080
FGIA0,08:00:00,20:00:00,480
FGIA1,08:00:00,20:00:00,480
FGIB0,08:00:00,24:00:00,480
FGIB1,08:00:00,24:00:00,480
FGVA0,08:00:00,22:00:00,480
FGVA1,08:00:00,22:00:00,480
FGVB0,08:00:00,24:00:00,480
FGVB1,08:00:00,24:00:00,480
